gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
6160800509	fdf55163-54d8-4bc7-862d-7e41068589e3	https://specieslink.net/guid/15/41427	Plantae	Tracheophyta	Liliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea martiana		SPECIES	Dioscorea leptostachya Gardner	Dioscorea leptostachya	Gardner	BR	Fazenda Faroeste Margem direita do Rio São Miguel	Minas Gerais	PRESENT		92bd7d31-3255-4f1c-8552-cbb6fbe60478	-20.251389	-45.662972							2003-02-01	1	2	2003	2755323	2755322	PRESERVED_SPECIMEN	UNESP-RC	HRCB	41427	389	Araújo, D.	2012-02-24T00:00:00	CC_BY_4_0	Herbário Rioclarense	Melo, P.H.A.		native	2026-06-26T18:23:19.816Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
5934868305	e1278068-7d2d-44e0-8274-a46ae6ebf957	https://specieslink.net/guid/391/14220	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Cactaceae	Cereus			GENUS	Cereus Mill.	Cereus		BR	Afloramento de calcário Bambuí (L45)	Minas Gerais	PRESENT		69e3ffff-c8fa-43a5-8d76-0c24261df2d7	-20.376611	-45.670056			705.0				2024-03-24	24	3	2024	3084079		PRESERVED_SPECIMEN	UFSCar	SORO	14220	GO 470	Olsthoorn, G.		CC_BY_4_0	Herbário do Centro de Ciências e Tecnologias para a Sustentabilidade	Olsthoorn, G.			2026-06-26T19:31:19.960Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
5933032335	d2470ef8-edfa-4ba7-821e-c3e1a537bdba	https://specieslink.net/guid/220/147248	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Ocotea			GENUS	Ocotea Aubl.	Ocotea		BR		Minas Gerais	PRESENT		4265f332-341c-45f6-b30b-5dc2e39b86e8	-20.3709	-45.5941							2008-11-28	28	11	2008	3034076		PRESERVED_SPECIMEN	UFMG	BHCB	147248	6			CC_BY_4_0	Herbário da UFMG - Fanerógamas, Algas e Fungos	Mansur, T			2026-06-25T20:18:17.793Z		CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE
5868800431	330d773a-abe3-4234-b423-129dc4d00963	https://specieslink.net/guid/229/43913	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Cedrela	Cedrela odorata		SPECIES	Cedrela odorata L.	Cedrela odorata	L.	BR	Fazenda Faroeste	Minas Gerais	PRESENT		303e2432-448c-41ec-be2b-020a25c7adc4	-20.256389	-45.669167							2002-11-16	16	11	2002	3190511	3190511	PRESERVED_SPECIMEN	UFJF	CESJ	43913	214	J.A. Lombardi		CC_BY_4_0	Herbário Leopoldo Krieger	P.H.A. Melo		native	2026-06-25T20:53:08.443Z		CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5867705718	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1591342	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Banisteriopsis			GENUS	Banisteriopsis C.B.Rob.	Banisteriopsis		BR	Fazenda Amargoso, MG 439 Km 16. Encosta de afloramento	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.380833	-45.661667							2004-03-03	3	3	2004	7618041		PRESERVED_SPECIMEN	JBRJ	RB	RB01591342	1116			CC_BY_4_0	Rio de Janeiro Botanical Garden	P.H.A. Melo			2026-07-01T12:15:02.195Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5867704938	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1591063	Plantae	Tracheophyta	Magnoliopsida	Cornales	Loasaceae	Mentzelia	Mentzelia aspera		SPECIES	Mentzelia aspera L.	Mentzelia aspera L.	L.	BR	Fazenda Faraoeste, margem direita do Rio São Miguel	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.266389	-45.660278							2006-12-14	14	12	2006	5331416	5331416	PRESERVED_SPECIMEN	JBRJ	RB	RB01591063	1765	P.H.A. Melo	2018-07-16T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	P.H.A. Melo; L.C.M. da Silva			2026-07-01T12:15:32.464Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5867704830	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1591177	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Trichilia	Trichilia claussenii		SPECIES	Trichilia claussenii C.DC.	Trichilia clausseni C.DC.	C.DC.	BR	Fazenda Amargoso, MG 439 Km 16	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.393055	-45.646389							2002-12-31	31	12	2002	8059494	8059494	PRESERVED_SPECIMEN	JBRJ	RB	RB01591177	783	P.H.A. Melo	2018-07-13T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	P.H.A. Melo			2026-07-01T12:15:02.249Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_FUZZY
5867704482	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1583923	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae				FAMILY	Cucurbitaceae	Cucurbitaceae		BR	Fazenda Amargoso, MG 439 Km 16	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.387222	-45.649722							2003-04-15	15	4	2003	6634		PRESERVED_SPECIMEN	JBRJ	RB	RB01583923	558			CC_BY_4_0	Rio de Janeiro Botanical Garden	P.H.A. Melo; F.V. Bezerra			2026-07-01T12:15:01.928Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5867703791	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1583987	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia florida		SPECIES	Eugenia florida DC.	Eugenia cf. florida DC.	DC.	BR	Nascentes do Rio São Miguel, Região da Onça	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.431111	-45.618889							2006-11-25	25	11	2006	5417919	5417919	PRESERVED_SPECIMEN	JBRJ	RB	RB01583987	2435	T. Fernandes	2025-09-01T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	P.H.A. Melo; R.M. Santos			2026-07-01T12:15:02.241Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5867703719	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1591442	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae				FAMILY	Cucurbitaceae	Cucurbitaceae		BR	Fazenda Amargoso, MG 439, Km 16	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.387222	-45.649722							2003-03-22	22	3	2003	6634		PRESERVED_SPECIMEN	JBRJ	RB	RB01591442	482			CC_BY_4_0	Rio de Janeiro Botanical Garden	P.H.A. Melo			2026-07-01T12:15:01.916Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
