gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3695987306				https://images.cria.org.br/viewer/BHCB055530										
3695987305				https://images.cria.org.br/viewer/BHCB060147										
3397872301				https://images.cria.org.br/viewer/BHCB068596										
3345575663				http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/32/83/72/mbm00328372.dzi									http://creativecommons.org/licenses/by/4.0/	MBM
3127365317				https://images.cria.org.br/viewer/BHCB202536										
3127362320				https://images.cria.org.br/viewer/BHCB202537										
3127358319				https://images.cria.org.br/viewer/BHCB202532										
3127357318				https://images.cria.org.br/viewer/BHCB202533										
3127355319				https://images.cria.org.br/viewer/BHCB202534										
3127347319				https://images.cria.org.br/viewer/BHCB202535										
3127345321				https://images.cria.org.br/viewer/BHCB202531										
3071053406				https://images.cria.org.br/viewer/SP0369815										
3071050413				https://images.cria.org.br/viewer/SP0369788										
3071049403				https://images.cria.org.br/viewer/SP0369819										
3071048391				https://images.cria.org.br/viewer/SP0369852										
3071047392				https://images.cria.org.br/viewer/SP0369811										
3071045400				https://images.cria.org.br/viewer/SP0369810										
3071043396				https://images.cria.org.br/viewer/SP0370639										
3071042407				https://images.cria.org.br/viewer/SP0370640										
3071040400				https://images.cria.org.br/viewer/SP0369845										
3071040399				https://images.cria.org.br/viewer/SP0369809										
3071038399				https://images.cria.org.br/viewer/SP0370638										
3071037400				https://images.cria.org.br/viewer/SP0369842										
3071036401				https://images.cria.org.br/viewer/SP0370583										
3071036399				https://images.cria.org.br/viewer/SP0369846										
3032387334				https://images.cria.org.br/viewer/HUFU00078327										
2998679951				http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/8/21/91/cen00082191.dzi									http://creativecommons.org/licenses/by/4.0/	CEN
2998255221				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/kew/k/0/9/96/27/3/k000996273.dzi									http://creativecommons.org/licenses/by/4.0/	K
2998212767				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/kew/k/0/9/44/31/1/k000944311.dzi									http://creativecommons.org/licenses/by/4.0/	K
2998161168				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sjrp/sjrp/0/0/77/55/sjrp00007755.dzi									http://creativecommons.org/licenses/by/4.0/	SJRP
2998034125				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/1/1/77/24/ny_01017724.dzi									Creative Commons	NY
2997958953				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/1/28/17/62/ny_01281762.dzi									Creative Commons	NY
2997848489				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/1/85/75/42/ny_01857542.dzi									Creative Commons	NY
2997837801				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/37/23/spf00163723.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997835767				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/5/1/spf00160501.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997831365				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/0/95/56/67/ny_00955667.dzi									Creative Commons	NY
2997806982				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/37/28/spf00163728.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997757638				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/1/72/spf00160172.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997751669				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/15/16/spf00161516.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
