gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	projectTitle	projectID	fundingAttribution	fundingAttributionID	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
2997521619		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4288344		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4288344	SPF00160234	288	Melo, PHA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/2/34/spf00160234.dzi																					30/12/2003				2003	12	30	30/12/03																			Brasil	BR	Minas Gerais		Pains			-9999	0										-20.3872222222222	-45.6497222222222																																								Lombardi, JA		s. d.												Cissus verticillata (L.) Nicolson & C.E.Jarvis													Vitaceae				Cissus				verticillata			ESPECIE		(L.) Nicolson & C.E.Jarvis					
2997520614		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4288325		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4288325	SPF00160181	86	Melo, PHA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/1/81/spf00160181.dzi																					4/10/2002				2002	10	4	04/10/02																			Brasil	BR	Minas Gerais		Iguatama			-9999	0										-20.2563888888889	-45.6691666666667																																								Lombardi, JA		s. d.												Bougainvillea spectabilis Willd.													Nyctaginaceae				Bougainvillea				spectabilis			ESPECIE		Willd.					
2997518727		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4289768		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4289768	SPF00164429	920	Melo, PHA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/44/29/spf00164429.dzi																					28/10/2003				2003	10	28	28/10/03																			Brasil	BR	Minas Gerais		Pains			750	0										-20.3872222222222	-45.6497222222222																																								Sobral, M		11/3												Eugenia acutata Miq.													Myrtaceae				Eugenia				acutata			ESPECIE		Miq.					
2997518655		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4288345		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4288345	SPF00160235	330	Melo, PHA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/2/35/spf00160235.dzi																					31/12/2002				2002	12	31	31/12/02																			Brasil	BR	Minas Gerais		Arcos	Fazenda Faroeste.		-9999	0										-20.2516666666667	-45.6630555555556																																								Lombardi, JA		s. d.												Cissus verticillata (L.) Nicolson & C.E.Jarvis													Vitaceae				Cissus				verticillata			ESPECIE		(L.) Nicolson & C.E.Jarvis					
2997516653		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4288339		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4288339	SPF00160224	82	Melo, PHA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/2/24/spf00160224.dzi																					4/10/2002				2002	10	4	04/10/02																			Brasil	BR	Minas Gerais		Iguatama			-9999	0										-20.2563888888889	-45.6691666666667																																								Lombardi, JA		s. d.												Guazuma ulmifolia Lam.													Malvaceae				Guazuma				ulmifolia			ESPECIE		Lam.					
2997514693		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4289583		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4289583	SPF00163729	1011	Melo, PHA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/37/29/spf00163729.dzi																					8/12/2003				2003	12	8	08/12/03																			Brasil	BR	Minas Gerais		Pains			650	700										-20.3819444444444	-45.6511111111111																																								Pirani, JR		2004												Trichilia elegans A.Juss.													Meliaceae				Trichilia				elegans			ESPECIE		A.Juss.					
2997514665		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4288953		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4288953	SPF00162113	761	Melo, PHA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/21/13/spf00162113.dzi																					6/7/2003				2003	7	6	06/07/03																			Brasil	BR	Minas Gerais		Pains			750	810										-20.3872222222222	-45.6497222222222																																								Sobral, M		2004												Eugenia moraviana O.Berg													Myrtaceae				Eugenia				moraviana			ESPECIE		O.Berg					
2997514632		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4288340		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4288340	SPF00160225	243	Melo, PHA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/2/25/spf00160225.dzi																					16/11/2002				2002	11	16	16/11/02																			Brasil	BR	Minas Gerais		Iguatama			-9999	0										-20.2563888888889	-45.6691666666667																																								Lombardi, JA		s. d.												Guazuma ulmifolia Lam.													Malvaceae				Guazuma				ulmifolia			ESPECIE		Lam.					
2997513175		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4299515		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4299515	SPF00193296	808	Melo, PHA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/19/32/96/spf00193296.dzi																					10/8/2003				2003	8	10	10/08/03																			Brasil	BR	Minas Gerais		Iguatama			750	0										-20.2555555555556	-45.67																																								Melo, PHA		6/5												Trichilia claussenii C.DC.													Meliaceae				Trichilia				claussenii			ESPECIE		C.DC.					
2997512695		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4289769		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4289769	SPF00164430	561	Melo, PHA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/44/30/spf00164430.dzi																					15/4/2003				2003	4	15	15/04/03																			Brasil	BR	Minas Gerais		Pains			750	810										-20.3872222222222	-45.6497222222222																																								Sobral, M		6/3												Eugenia repanda O.Berg													Myrtaceae				Eugenia				repanda			ESPECIE		O.Berg					
2997483395		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4225183		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4225183	SPF00160117	296	Melo, PHA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/1/17/spf00160117.dzi																					31/12/2002				2002	12	31	31/12/02																			Brasil	BR	Minas Gerais		Arcos	Fazenda Faroeste.		-9999	0										-20.2516666666667	-45.6630555555556																																								Lombardi, JA		s. d.												Wilbrandia hibiscoides Silva Manso													Cucurbitaceae				Wilbrandia				hibiscoides			ESPECIE		Silva Manso					
2997481402		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4225178		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				SPF					SPF	SPF			PreservedSpecimen				4225178	SPF00160099	67	Lombardi, JA																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/0/99/spf00160099.dzi																					4/10/2002				2002	10	4	04/10/02																			Brasil	BR	Minas Gerais		Iguatama			-9999	0										-20.2563888888889	-45.6691666666667																																								Gonzaga, DR		20/7/15												brasiliopuntia brasiliens (willd.) a.berger													Cactaceae				brasiliopuntia				brasiliens			ESPECIE		(Willd.) A.Berger					
2997442823		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=3107917		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				NY					NY	NY			PreservedSpecimen				3107917	NY01183994	186	R. A. X. Borges																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/1/18/39/94/ny_01183994.dzi																					13/7/2006				2006	7	13	2006-07-13																			Brazil	BR	Minas Gerais			Pains. Mineração Vale de São Miguel.													-20.3541666666666679	-45.673333333333332																																										s. d.												Ficus guaranitica Chodat													Moraceae				Ficus				guaranitica			ESPECIE		Chodat					
2997382015		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=2446072		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				NY					NY	NY			PreservedSpecimen				2446072	NY00956874	202	J. Evangelista  de Oliveira																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/v-069-00/95/68/74/ny_v-069-00956874.dzi																					7/10/1940				1940	10	7	1940-10-07																			Brazil	BR	Minas Gerais			Agua Limpa, Calciolandia.													-20.281944444444445	-45.5391666666666666																																										s. d.												Peperomia circinnata Link													Piperaceae				Peperomia				circinnata			ESPECIE		Link					
2996965382		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5545842		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				VIES					VIES	VIES			PreservedSpecimen				5545842	VIES046073	4405	Bovini, M.G.;J.F. Baumgratz, C.D.Ferreira, B. Valente et G. Leite																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/vies/vies/0/4/60/73/vies00046073.dzi					VIES 46073	Árvore ca. 5m, muito frequente no local, heliófila. Folhas cartáceas, bicolores. Frutos imaturos verdes pilosos e maduros pardacentos. Material em sílica.															21/5/2018				2018	5	21	2018-05-21																			Brasil	BR	Minas Gerais		Pains	Calciolândia, acompanhando a linha do trem, próximo a margem do rio São Miguel. Área de extração de calcário. 652m.													-20.2380555555556	-45.6641666666667																																								G.I. Oliveira		3/10/2023												Luehea divaricata Mart.													Malvaceae				Luehea				divaricata			ESPECIE		Mart.					
2996582297		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=3889153		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				MBM					MBM	MBM			PreservedSpecimen				3889153	MBM351034	206	Borges, RAX;Borges, R.A.X.,Bernardo, P.H.,Bernardo, PH																		jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/35/10/34/mbm00351034.dzi					MBM 351034	Arbusto 1,5 m.; cálice verde, corola vermelha, filetes brancos, anteras castanhas e frutos nigrescentes.															11/7/2006				2006	7	11	2006-7-11						Arbusto 1,5 m.; cálice verde, corola vermelha, filetes brancos, anteras castanhas e frutos nigrescentes.; Região cárstica: mata seca decudual sobre afloramento de calcário próximo ao rio Miguel.													Brazil	BR	Minas Gerais		Pains	Mineração Vale São Miguel.		-9999	0										-20.3563888888889	-45.6697222222222																																								Profice, S.R.		2008												Justicia brasiliana Roth													Acanthaceae				Justicia				brasiliana			ESPECIE		Roth					
2996214387		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5442581		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				HUFU					HUFU	HUFU			PreservedSpecimen				5442581	HUFU00073410	1392	Melo, P.H.A.;Melo Jr, E.A.																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/7/34/10/hufu00073410.dzi						Erva, ereta, saxícola, flores alvas, tricomas viscosos.															26/6/2005				2005	6	26	26/06/2005																			Brasil	BR	Minas Gerais		Arcos	Região do Rastro de São Pedro. Interior do afloramento.. Vegetação relacionada a afloramento calcário.		680											-20.2958333333333	-45.6047222222222																																								Melo, P.H.A.		5/2011												Gardnerina angustata (Gardner) R.M.King & H.Rob.													Asteraceae				Gardnerina				angustata			ESPECIE		(Gardner) R.M.King & H.Rob.					
2996214385		Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5442580		CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)				HUFU					HUFU	HUFU			PreservedSpecimen				5442580	HUFU00073409	1354	Melo, P.H.A.;Melo Jr, E.A.																		jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/7/34/9/hufu00073409.dzi						Erva, ereta, saxícola, até 1m, anual, viscosa, flores alvas, brácteas involucrais verdes.															31/12/2005				2005	12	31	31/12/2005																			Brasil	BR	Minas Gerais		Pains	Reg. do Corumbá, próximo ao Morro do Marruá, Mineração Agrocampo.. Relacionada a afloramento calcário, no sub-bosque de mata.		700	800										-20.3488888888889	-45.6363888888889																																								Melo, P.H.A.		5/2011												Gardnerina angustata (Gardner) R.M.King & H.Rob.													Asteraceae				Gardnerina				angustata			ESPECIE		(Gardner) R.M.King & H.Rob.					
